Identité;*Analyse;*Code MSSS;Libellé répertoire MSSS;*Gr. Risque;*SYNONYME(S);*Renseignement important;*SECTEUR;TEMPS RÉPONSE (JOURS OUVRABLES*);*PRÉLÈVEMENT SPÉCIMEN;TEST;*Titre d'analyse;Plan d'analyses;Code du Groupe d'analyses;*NOM DU GROUPE D'ANALYSES;COMMENTAIRE;Catégorie d'envoi TMD;
1;Actinomycètes aérobies: antibiogramme (microdilution en bouillon);84002;Actinomycètes aérobies  antibiogramme (microdilution en bouillon);;Actinomycètes aérobies, bacille gram positif embranché, Gram+ embranché, Gram +, Nocardia;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Mycobactériologie;10 à 25 jours ouvrables;Souche - Culture;CMI - microdilution;Antibiogramme;Humain;AMB;Antibiogramme MB;N/A;Catégorie B;
2;Actinomycètes aérobies: identification (séquençage);84001;Actinomycètes aérobies  identification (séquençage);;Actinomycètes aérobies, bacille gram positif embranché, Gram+ embranché, Gram +, Nocardia;"ATTENTION! Actinomyces est une analyse anaérobie et non une analyse d’actinomycètes aérobies.
Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).";Mycobactériologie;"8 à 10 jours ouvrables
";Souche - Culture;TAAN - séquençage;Identification;Humain;AC;2-Actinomycète;N/A;Catégorie B;
3;Adénovirus: détection (TAAN) sur spécimen clinique;83001;Adénovirus  détection (TAAN) sur spécimen clinique;;adénovirus, picornaviridae;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;Consulter le guide des services du LNM.;TAAN;Adénovirus - Recherche d'acides nucléiques;Humain;ADED;Adénovirus - Détection;Envoi au LNM.;Catégorie B;
4;Adénovirus: génotypage (séquençage) sur isolats viraux;83002;Adénovirus  génotypage (séquençage) sur isolats viraux;;adénovirus, picornaviridae;"Veuillez inscrire la lignée cellulaire utilisée pour effectuer la mise en culture dans le champ  ""Autres données pertinentes"".
Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).";Biologie moléculaire;Délai du LNM + 4 jours ouvrables;Consulter le guide des services du LNM.;TAAN - séquençage;Adénovirus - Génotypage;Humain;ADEG;Adénovirus - Génotypage;Envoi au LNM.;Catégorie B;
5;Anaérobies: antibiogramme (dilution en agar);81021;Anaérobies  antibiogramme (dilution en agar);;Anaérobies;Veuillez noter que cette analyse comprend l'identification et l'antibiogramme. Il n'est donc pas nécessaire d'ajouter l'analyse " Anaérobies: identification ". Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;21 à 30 jours ouvrables;Souche - Culture;CMI - microdilution;Antibiogramme;Humain;IdCMIA;ID et CMI Ana;N/A;Catégorie B;
6;Anaérobies: identification;81020;Anaérobies  identification;;Anaérobies;SVP retirer cette analyse du formulaire si l'analyse " Anaérobies: antibiogramme (dilution en agar)" est demandée. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;5 à 15 jours ouvrables;Souche - Culture;Maldi-Tof ou TAAN - séquençage;Identification;Humain;ANA;Anaérobies;N/A;Catégorie B;
7;Anaplasma phagocytophilum: détection (anticorps);82035;Anaplasma phagocytophilum  détection (anticorps);;Ehrlichiose granulocytaire, Ehrlichia phagocytophila, Anaplasmose;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;Délai du LNM (21 jours) + 4 jours ouvrables;Sérum (0,5 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;IFA;Anaplasma phagocytophilum - Détection d'anticorps;Humain;ANAP;Anaplasma phagocytophilum;Envoi au LNM;Catégorie B;
8;Anaplasma phagocytophilum: détection (TAAN);82036;Anaplasma phagocytophilum  détection (TAAN);;Ehrlichiose granulocytaire, Ehrlichia phagocytophila, Anaplasmose;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;Délai du LNM (21 jours) + 4 jours ouvrables;Sang total EDTA (5 ml) ou couche leucoplaquettaire (0,25 ml). Éviter l'héparine, Conservé et envoyé au LSPQ entre 2 et 8°C.;PCR temps réel;Anaplasma phagocytophilum - Recherche d'acides nucléiques;Humain;ANPC;Anaplasma PCR;Envoi au LNM;Catégorie B;
9;Babesia microti: détection (anticorps);86054;Babesia microti  détection (anticorps);;Babésia, Babésiose;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;IFA;Babesia - Détection d'anticorps;Humain;BABE;Babésiose;Envoi au CNRP;Catégorie B;
10;Babesia spp.: détection (TAAN);86055;Babesia spp.  détection (TAAN);;Babésia, Babésiose;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du LNM (21 jours) + 4 jours ouvrables;Sang total EDTA (2 ml) Éviter l'héparine, conservés et envoyés au LSPQ entre 2 et 8°C.;TAAN;Babesia - Reherche d'acides nucléiques;Humain;BABP;Babésiose/ PCR;Envoi au LNM;Catégorie B;
