Institution;Adresse;Téléphone du contact;Rapport envoyé à:;Fax du contact;Nom du contact;Compagnie;Organisation Parent;ID Soumissionnaire;Type de Livraison;
Adaltis inc.;10900, rue Hamon;;Courrier postal;;Responsable;Adaltis inc.;LPADAL;LPADAL1;MAIL;|
Agence canadienne d'inspection des aliments Mirabel;17660, rue Charles;;Courrier postal;;Responsable;Agence canadienne d'inspection des aliments Mirabel;ACIA;ACIAM;MAIL;|
Agence canadienne d'inspection des aliments Sherbrooke;50, Place de la Cité;;Courrier postal;;Responsable;Agence canadienne d'inspection des aliments Sherbrooke;ACIA;ACIAS;MAIL;|
American Type Culture Collection;10801, University Boulevard;;Courrier postal;;Reponsable;American Type Culture Collection;ATCC;ATCC1;MAIL;|
Aqualabo;2255, rue Principale;;Courrier postal;;Responsable;Aqualabo;LPAQUA;LPAQUA1;MAIL;|
Baffin Regional Hospital;P.O. Box 1000 Stn. 1024;;Courrier postal;;Responsable;Baffin Regional Hospital;HORBAF;HORBAF1;MAIL;|
Bariatrix International Inc.;1125, 50e Avenue;;Courrier postal;;Responsable;Bariatrix International Inc.;LPBINT;LPBINT1;MAIL;|
Base des Forces canadiennes Bagotville;Clinique médicale, bâtisse 66 CP 5000;;Courrier postal;;Responsable;Base des Forces canadiennes Bagotville;BFC;CMBFCB;MAIL;|
Base des Forces canadiennes Montréal;Clinique médicale Garnison Saint-Jean, C.P. 100;1-450-358-7099 poste 7670;14503586293;14503586293;Responsable/M. Jacques Lepage;Base des Forces canadiennes Montréal;BFC;LABFCSJ;FAX;|
Base des Forces canadiennes Montréal - Saint-Hubert;Clinique médicale;;Courrier postal;;Resopnsable;Base des Forces canadiennes Montréal - Saint-Hubert;BFC;CMBFCM;MAIL;|
Biogénie inc.;350, rue Franquet;;Courrier postal;;Responsable;Biogénie inc.;LPBIO;LPBIO1;MAIL;|
BIOLAB - Division Joliette;725, rue Marion;;Courrier postal;;Responsable;BIOLAB - Division Joliette;LPBDJOL;LPBDJOL1;MAIL;|
Biomedco Services inc.;2550, chemin Bates;;Courrier postal;;Responsable;Biomedco Services inc.;LPBS;LPBS1;MAIL;|
Biovet Diagnostics inc.;4375, avenue Beaudry;;result@biovet-inc.com;;Responsable;Biovet Diagnostics inc.;LPBVET;LPBVET1;EMAIL;|
British Columbia Centre for Disease Control;655, West 12th Avenue;;Courrier postal;;Responsable;British Columbia Centre for Disease Control;BCCDC;BCCDC1;MAIL;|
Bureau des services de santé à la frontière et aux voyageurs;200, boulevard René-Lévesque Ouest ,11e étage , pièce 1002.48;514-496-7191;5144967012;5144967012;Responsable/André Allain;Bureau des services de santé à la frontière et aux voyageurs;ASPC;BSSFV;FAX;|
Bureau du Coroner;1701, rue Parthenais, 11e étage;514 873-3284;Courrier postal;514 873-8943;Responsable;Bureau du Coroner;MSPQ;BCORO;MAIL;|
Bureau of Laboratories;1600 Clifton RD;;Courrier postal;;Responsable;Bureau of Laboratories;CDCP;BLAB;MAIL;|
Cadham Provincial Laboratory;750 William Avenue;;Courrier postal;;Responsable;Cadham Provincial Laboratory;CPLAB;CPLAB1;MAIL;|
Canadian Blood Services National testing lab.;1800 Alta Vista Drive;;Courrier postal;;Responsable;Canadian Blood Services National testing lab.;CBS;CBSNTL;MAIL;|
Canadian Forces Base Goose Bay;27 CF Health Services Centre 5;;Courrier postal;;Responsable;Canadian Forces Base Goose Bay;BFC;BFCGB;MAIL;|
Carrefour médical Vallée du Richelieu;665, boul. Sir-Wilfrid-Laurier;4504670088;14504676941;14504676941;Responsable;Carrefour médical Vallée du Richelieu;CMVALL;CMVALL1;FAX;|
Carrefour médical Vallée du Richelieu;665, boul. Sir-Wilfrid-Laurier;1-450-467-1230 poste 216;14504676941;14504676941;Responsable/Mme Geneviève Martin;Carrefour médical Vallée du Richelieu;GMFVALL;GMFVALL1;FAX;|
Center for AIDS research, Stanford University;300, Pasteur Drive, Room S-146;650 723-5715;Courrier postal;;Responsable;Center for AIDS research, Stanford University;SU;CARUS;MAIL;|
Centre ambulatoire (CHARL);1515, boul. Chomedey, 2e étage;;mlapointe.csssl@ssss.gouv.qc.ca;;Responsable/Martin Lapointe;Centre ambulatoire (CHARL);CILAV;CHCHARL;EMAIL;|
Centre de détention de Québec;500, rue de la Faune;418 626-7119;Courrier postal;;Responsable;Centre de détention de Québec;SPQ;CDQ;MAIL;|
Centre de détention Rivière-des-Prairies;11900, rue Armand-Chaput;514 494-3930;Courrier postal;514 494-1423;Responsable;Centre de détention Rivière-des-Prairies;SPQ;CDRP;MAIL;|
Centre de médecine familiale (D.D.O.);3400, rue du Marché;514-683-0414;Courrier postal;;Responsable;Centre de médecine familiale (D.D.O.);CMFAMDDO;CMFAMDDO1;MAIL;|
Centre de médecine familiale (Saint-Sauveur);75, av. de la Gare, RR 6;4502271864;Courrier postal;;Responsable;Centre de médecine familiale (Saint-Sauveur);CMFAMSS;CMFAMSS1;MAIL;|
Centre de rech. du CHUM - Technopôle Angus;2901 rue Rachel Est;5148908000;Courrier postal;;Responsable;Centre de rech. du CHUM - Technopôle Angus;CUMONT;CRTANG;MAIL;|
Centre de recherche et de développement en horticulture;430, boul. Gouin;;Courrier postal;;Responsable;Centre de recherche et de développement en horticulture;AC;CRDH;MAIL;|
Centre de recherche et de développement sur bovin laitier et le porc;2000, rue Collège;;Courrier postal;;Responsable;Centre de recherche et de développement sur bovin laitier et le porc;AC;CRDBLP;MAIL;|
Centre de référence national pour arbovirus;Université de Toronto, Banting Institute;416 978-2011;Courrier postal;;Responsable;Centre de référence national pour arbovirus;UTBI;CNRA;MAIL;|
